api,fetch_time,station,head_sign,projected_arrival,last_updated,door_open,door_close,scheduled_departure
OFFICIAL,2022-11-20T10:52:08.305410-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:02:46.252749-05:00,2022-11-20T10:50:56.252749-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:52:21.306084-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:02:46.252749-05:00,2022-11-20T10:50:56.252749-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:52:27.040895-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:02:51-05:00,2022-11-20T10:52:25-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:52:27.171539-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:02:46.270143-05:00,2022-11-20T10:51:26.270143-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:52:32.352897-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:01-05:00,2022-11-20T10:52:30-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:52:32.454135-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:02:46.270143-05:00,2022-11-20T10:51:26.270143-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:52:39.112724-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:02-05:00,2022-11-20T10:52:35-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:52:39.262530-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:02:46.270143-05:00,2022-11-20T10:51:26.270143-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:52:50.487859-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:23-05:00,2022-11-20T10:52:50-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:52:50.606362-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:02:46.270143-05:00,2022-11-20T10:51:26.270143-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:52:56.299816-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:23-05:00,2022-11-20T10:52:55-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:52:56.416174-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:02:46.270143-05:00,2022-11-20T10:51:26.270143-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
