api,fetch_time,station,head_sign,projected_arrival,last_updated,door_close,scheduled_departure
MRAZZA,2023-04-02T14:15:47.863748-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:38:20-04:00,2023-04-02T14:15:45-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:16:07.862362-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:38:20-04:00,2023-04-02T14:16:05-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:16:27.868320-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:38:19-04:00,2023-04-02T14:16:25-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:16:27.877925-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:38:19.868694-04:00,2023-04-02T14:15:47.868694-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:16:47.943513-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:38:20-04:00,2023-04-02T14:16:45-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:16:47.952861-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:38:20.118316-04:00,2023-04-02T14:16:08.118316-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:17:07.895566-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:38:20-04:00,2023-04-02T14:17:05-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:17:07.905067-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:38:20.118316-04:00,2023-04-02T14:16:08.118316-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:17:27.895940-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:38:19-04:00,2023-04-02T14:17:25-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:17:27.905841-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:38:20.132594-04:00,2023-04-02T14:16:43.132594-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:17:47.925180-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:38:20-04:00,2023-04-02T14:17:45-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:17:47.934560-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:38:20.069649-04:00,2023-04-02T14:16:13.069649-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:18:07.942606-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:38:19-04:00,2023-04-02T14:18:05-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:18:07.951996-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:38:20.069649-04:00,2023-04-02T14:16:13.069649-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:18:27.959552-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:38:19-04:00,2023-04-02T14:18:25-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:18:27.969045-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:38:19.919440-04:00,2023-04-02T14:17:17.919440-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:18:47.969396-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:38:19-04:00,2023-04-02T14:18:45-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:18:47.979932-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:38:20.099186-04:00,2023-04-02T14:17:13.099186-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:19:08.009293-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:38:19-04:00,2023-04-02T14:19:05-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:19:08.019010-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:38:20.181629-04:00,2023-04-02T14:18:08.181629-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:19:28.091081-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:38:19-04:00,2023-04-02T14:19:25-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
