api,fetch_time,station,head_sign,projected_arrival,last_updated,door_close,scheduled_departure
MRAZZA,2023-04-30T14:17:06.038303-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:38:59-04:00,2023-04-30T14:16:59-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:17:26.041702-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:38:59-04:00,2023-04-30T14:17:24-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:17:46.194099-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:38:59-04:00,2023-04-30T14:17:39-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:18:06.402799-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:38:59-04:00,2023-04-30T14:18:04-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:18:26.124123-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:38:59-04:00,2023-04-30T14:18:19-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:18:26.382210-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:38:59.654797-04:00,2023-04-30T14:17:30.654797-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:18:46.092813-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:38:59-04:00,2023-04-30T14:18:39-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:18:46.294428-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:38:59.792687-04:00,2023-04-30T14:17:20.792687-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:19:06.116696-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:38:59-04:00,2023-04-30T14:18:59-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:19:06.311721-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:38:59.792687-04:00,2023-04-30T14:17:20.792687-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:19:26.563922-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:38:59-04:00,2023-04-30T14:19:19-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:19:26.758609-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:38:59.897487-04:00,2023-04-30T14:18:50.897487-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:19:46.569911-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:00-04:00,2023-04-30T14:19:40-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:19:46.835359-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:38:59.624708-04:00,2023-04-30T14:18:10.624708-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:20:06.184671-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:00-04:00,2023-04-30T14:20:00-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:20:06.380900-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:38:59.651475-04:00,2023-04-30T14:19:10.651475-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:20:26.868102-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:38:59-04:00,2023-04-30T14:20:19-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:20:27.114211-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:38:59.925466-04:00,2023-04-30T14:19:20.925466-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:20:46.981787-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:00-04:00,2023-04-30T14:20:45-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:20:47.274702-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:38:59.925466-04:00,2023-04-30T14:19:20.925466-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:21:06.889506-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:38:59-04:00,2023-04-30T14:21:04-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
